Time,Altitude,Velocity,Drag Force,Resultant Force,Acceleration,Current Total Mass,Total Fuel Remaining,Core Fuel Remaining,SRB Fuel Remaining,Interim Fuel Remaining,Thrust,Down Force,Mach Speed,Air Density 
116.09999999999768,67209.71058097706,1505.15455000722,-2017.1605591773125,29388887.178130277,25.169619105807303,1167633.3700000043,876553.3700000042,748334.0,99234.9470000042,28984.423,40841476.1266,-11450571.787910542,4.380867603780289,8.283e-05
116.19999999999767,67360.60412368915,1507.675134749622,-2023.9238246438163,29400730.50594526,25.205847424020146,1166424.9970000042,875344.9970000042,748128.0,98232.5740000042,28984.423,40841476.1266,-11438721.69683009,4.388205685152245,8.283e-05
116.29999999999767,67511.75026942708,1510.1993498360591,-2030.7081685691064,29412573.81268179,25.242150864371542,1165216.624000004,874136.6240000041,747922.0,97230.20100000419,28984.423,40841476.1266,-11426871.605749639,4.395554328716099,8.283e-05
116.39999999999766,67663.1493823556,1512.727202802135,-2037.513660171416,29424417.09827064,25.278529660757993,1164008.2510000041,872928.2510000041,747716.0,96227.82800000419,28984.423,40841476.1266,-11415021.51466919,4.40291355637335,8.283e-05
116.49999999999766,67814.80182739653,1515.2587012069398,-2044.3403689382685,29436260.362642318,25.314984048048043,1162799.8780000042,871719.8780000041,747510.0,95225.45500000418,28984.423,40841476.1266,-11403171.423588742,4.410283390093688,8.283e-05
116.59999999999765,67966.70797023116,1517.7938526331486,-2051.1883646277574,29448103.60572708,25.35151426208732,1161591.505000004,870511.5050000041,747304.0,94223.08200000417,28984.423,40841476.1266,-11391321.33250829,4.417663851915276,8.283e-05
116.69999999999764,68118.86817730257,1520.332664687119,-2058.0577172698336,29459946.827454887,25.38812053970359,1160383.1320000042,869303.1320000042,747098.0,93220.70900000416,28984.423,40841476.1266,-11379471.24142784,4.42505496394504,8.283e-05
116.79999999999764,68271.28281581806,1522.8751449989902,-2064.948497167598,29471790.02775544,25.424803118711917,1159174.759000004,868094.7590000042,746892.0,92218.33600000416,28984.423,40841476.1266,-11367621.15034739,4.432456748358947,8.283e-05
116.89999999999763,68423.95225375153,1525.4213012227822,-2071.860774898608,29483633.20655816,25.461562237919793,1157966.3860000041,866886.3860000041,746686.0,91215.96300000415,28984.423,40841476.1266,-11355771.05926694,4.439869227402304,8.283e-05
116.99999999999763,68576.87685984587,1527.9711410364955,-2078.7946213161817,29495476.363792192,25.498398137132327,1156758.013000004,865678.0130000041,746480.0,90213.59000000414,28984.423,40841476.1266,-11343920.968186488,4.447292423390036,8.283e-05
117.09999999999762,68730.05700361538,1530.5246721422113,-2085.7501075507203,29507319.499386407,25.535311057157443,1155549.640000004,864469.6400000041,746274.0,89211.21700000414,28984.423,40841476.1266,-11332070.877106039,4.454726358706984,8.283e-05
117.19999999999762,68883.4930553482,1533.0819022661924,-2092.727305011026,29519162.613269396,25.572301239811164,1154341.2670000042,863261.2670000041,746068.0,88208.84400000413,28984.423,40841476.1266,-11320220.786025591,4.462171055808196,8.283e-05
117.29999999999761,69037.18538610873,1535.6428391589848,-2099.7262853856414,29531005.70536947,25.60936892792286,1153132.894000004,862052.894000004,745862.0,87206.47100000412,28984.423,40841476.1266,-11308370.69494514,4.46962653721922,8.283e-05
117.3999999999976,69191.1343677401,1538.2074905955187,-2106.7471206441837,29542848.77561466,25.64651436534057,1151924.5210000041,860844.521000004,745656.0,86204.09800000412,28984.423,40841476.1266,-11296520.60386469,4.477092825536399,8.283e-05
117.4999999999976,69345.3403728666,1540.7758643752124,-2113.7898830386944,29554691.82393272,25.68373779693636,1150716.148000004,859636.148000004,745450.0,85201.72500000411,28984.423,40841476.1266,-11284670.512784239,4.484569943427168,8.283e-05
117.59999999999759,69499.80377489615,1543.3479683220737,-2120.854645104996,29566534.850251105,25.721039468611686,1149507.775000004,858427.7750000041,745244.0,84199.3520000041,28984.423,40841476.1266,-11272820.42170379,4.492057913630357,8.283e-05
117.69999999999759,69654.52494802276,1545.923810284804,-2127.9414796640517,29578377.854496997,25.758419627302825,1148299.402000004,857219.4020000041,745038.0,83196.9790000041,28984.423,40841476.1266,-11260970.330623338,4.4995567589564835,8.283e-05
117.79999999999758,69809.50426722906,1548.5033981369027,-2135.0504598233397,29590220.836597286,25.795878520986307,1147091.029000004,856011.029000004,744832.0,82194.60600000409,28984.423,40841476.1266,-11249120.239542888,4.507066502288058,8.283e-05
117.89999999999758,69964.74210828873,1551.086739776771,-2142.1816589782284,29602063.796478577,25.83341639868443,1145882.6560000041,854802.656000004,744626.0,81192.23300000408,28984.423,40841476.1266,-11237270.14846244,4.514587166579891,8.283e-05
117.99999999999757,70120.23884776907,1553.6738431278181,-2149.3351508133687,29613906.734067198,25.871033510470763,1144674.283000004,853594.283000004,744420.0,80189.86000000408,28984.423,40841476.1266,-11225420.05738199,4.522118774859391,8.283e-05
118.09999999999756,70275.9948850179,1556.2648627015521,-480.6132226458212,29627425.54707581,25.910195737340093,1143465.9100000039,852385.910000004,744214.0,79187.48700000407,28984.423,40841476.1266,-11213569.966301538,4.529661350226875,1.846e-05
118.19999999999756,70432.01059096586,1558.8596605535017,-482.2175704709673,29639274.033808436,25.947978519495933,1142257.537000004,851177.537000004,744008.0,78185.11400000406,28984.423,40841476.1266,-11201719.875221089,4.537215343153213,1.846e-05
118.29999999999755,70588.28634464103,1561.4582446856332,-483.8269369375531,29651122.51552242,25.98584132131428,1141049.164000004,849969.1640000041,743802.0,77182.74100000405,28984.423,40841476.1266,-11189869.784140639,4.544780351467935,1.846e-05
